conf/webnet/1996,conf/webnet/JohnsonABBCDGKLMORRW96
conf/wsks/2009-2,conf/wsks/RusuLH09
conf/vtc/2008f,conf/vtc/KennedySMBNR08
conf/ifip10-3/2010dipes,conf/ifip10-3/FischKS10
journals/re,journals/re/BatiniCAFP96
conf/er/2005w,conf/er/MaBWA05
conf/caise/1998,conf/caise/HarrisonL98
conf/ami/2010,conf/ami/Ovaska10
conf/hci/2014-12,conf/hci/JingLCYH14
journals/jsa,journals/jsa/DasMKSMNBPNN14
conf/icde/87,conf/icde/Wilson87
conf/ictai/2013,conf/ictai/AlhusainCJK13
conf/auic/2003,conf/auic/MoyleC03
conf/iclp/1992,conf/iclp/SundararajanST92
conf/soda/1998,conf/soda/AlstrupHLT98
conf/cdb/1997,conf/cdb/Papadimitriou97
conf/chi/1992,conf/chi/TaniYTFT92
conf/globecom/2008,conf/globecom/SoldatiJ08
journals/jsc,journals/jsc/Buchberger87
conf/ds/1999,conf/ds/SofferS99
conf/icwus/2010,conf/icwus/RouisSA10
conf/sigsoft/1998,conf/sigsoft/Griss98
conf/ewsn/2009,conf/ewsn/AnastasiCF09
conf/icc/2008,conf/icc/VassilakisKML08
conf/ki/1992,conf/ki/Baumgartner92
conf/gecco/2011c,conf/gecco/MaWGJZ11
journals/ieicet,journals/ieicet/NakaharaKION08
conf/acsac/1999,conf/acsac/LaiGKNS99
conf/globecom/2014,conf/globecom/WangYZ14
conf/gcc/2004,conf/gcc/WengLXDL04
conf/coopis/97,conf/coopis/GokkocaACTKD97
conf/epia/1993,conf/epia/Antoniou93
conf/cade/1982,conf/cade/LuskMO82
conf/fqas/1998,conf/fqas/Al-QasemD98
conf/icse/1987,conf/icse/Reiss87
journals/jair,journals/jair/LesaintMOQW10
conf/icc/2012,conf/icc/NgoSH12
conf/ic3k/2010keod,conf/ic3k/GilCM10
conf/cikm/1992,conf/cikm/FormicaM92
conf/icse/1995,conf/icse/HenningerLR95
conf/cpm/1998,conf/cpm/Zhang98
conf/pdis/93,conf/pdis/TomasicG93
conf/isca/1997,conf/isca/KontothanassisHSHCPMDS97
conf/cikm/96,conf/cikm/LehnerRT96
conf/vtc/2007s,conf/vtc/GiaffredaB07
conf/ifip5-3/2002,conf/ifip5-3/Johansson02
conf/vr/2012,conf/vr/AudetOT12
conf/pimrc/2007,conf/pimrc/WernerVKF07
conf/cec/2011,conf/cec/Monson11
conf/tacs/1994,conf/tacs/AbramskyMJ94
conf/ngits/1999,conf/ngits/KoksalCD99
conf/cpm/1994,conf/cpm/KececiogluS94
conf/oopsla/1996,conf/oopsla/Adl-TabatabaiGL96
conf/vsl/2014kr4hc,conf/vsl/ZamborliniSPTH14
conf/tabletop/2013,conf/tabletop/MujibiyaCTMPR13
conf/ngits/1993,conf/ngits/TuvL93
conf/icdt/90,conf/icdt/Kuper90
journals/twc,journals/twc/GodtmannLACM08
conf/pldi/1996,conf/pldi/TrinderHMPJ96
conf/robocomm/2007,conf/robocomm/MotaR07
conf/dexa/1999,conf/dexa/PuuronenTL99
conf/pkdd/2011-3,conf/pkdd/FleuretADL11
conf/vissym/2004,conf/vissym/JangWHHEGE04
conf/soups/2010,conf/soups/IonLKC10
journals/jodl,journals/jodl/AbiteboulQMWW97
conf/apgv/2010,conf/apgv/SinghSJE10
conf/softvis/2005,conf/softvis/FrishmanT05
conf/vlsid/1996,conf/vlsid/SasidharC96
conf/hais/2011-1,conf/hais/WisniewskiW11
conf/pldi/2001,conf/pldi/HeintzeT01
conf/ht/89,conf/ht/CroftT89
conf/iclp/1989,conf/iclp/AspertiM89
conf/soda/1998,conf/soda/AkutsuKMM98
conf/dawak/2000,conf/dawak/StanoiAA00
conf/icalp/1991,conf/icalp/Vogler91
conf/icycs/2008,conf/icycs/CaiML08
conf/pldi/2009,conf/pldi/AndersonGN09
conf/ecsqaru/2005,conf/ecsqaru/QinL05
conf/icde/87,conf/icde/Linnemann87
conf/artdb/95,conf/artdb/ColletM95
conf/pldi/1994,conf/pldi/Wang94
conf/fodo/1993,conf/fodo/KambayashiTM93
conf/icmcs/1997,conf/icmcs/ChangS97
conf/swat/2008,conf/swat/BekosKNS08
conf/db-workshops/1978db,conf/db-workshops/Hotaka78
conf/sigsoft/1998,conf/sigsoft/AstleyA98
conf/oopsla/1991,conf/oopsla/KorsonHHPT91
conf/graphicsinterface/2000,conf/graphicsinterface/RedstromLJ00
conf/vldb/94,conf/vldb/WienerN94
conf/isbms/2006,conf/isbms/ZhangGLHBX06
conf/cbms/2007,conf/cbms/LuneskiB07
conf/kdd/1995,conf/kdd/DaoP95
conf/usab/2011,conf/usab/ArraisLO11
conf/compute/2010,conf/compute/SinghKS10
conf/pldi/1988,conf/pldi/PlebanL88
conf/eurogp/2002,conf/eurogp/BrameierB02
journals/tim,journals/tim/AraujoGBTRSN12
conf/igarss/2004,conf/igarss/CostantiniMQS04
journals/vldb,journals/vldb/AbiteboulB95
