conf/nips/VainsencherMX13,inproceedings,Learning Multiple Models via Regularized Weighting.,NIPS,2013,,1977-1985,,db/conf/nips/nips2013.html#VainsencherMX13,,
journals/vc/MuYHZ08,article,Contextual motion field-based distance for video analysis.,,2008,24,595-603,,db/journals/vc/vc24.html#MuYHZ08,The Visual Computer,
conf/icassp/YanWTH07,inproceedings,Exploring Feature Descritors for Face Recognition.,ICASSP (1),2007,,629-632,,db/conf/icassp/icassp2007-1.html#YanWTH07,,
journals/tvlsi/LeupersM97,article,Time-constrained code compaction for DSPs.,,1997,5,112-122,,db/journals/tvlsi/tvlsi5.html#LeupersM97,IEEE Trans. VLSI Syst.,
conf/iccad/KaruriCHLAM07,inproceedings,Increasing data-bandwidth to instruction-set extensions through register clustering.,ICCAD,2007,,166-171,,db/conf/iccad/iccad2007.html#KaruriCHLAM07,,
journals/tvcg/KeimRTW06,article,Guest Editorial: Special Section on Visual Analytics.,,2006,12,1361-1362,,db/journals/tvcg/tvcg12.html#KeimRTW06,IEEE Trans. Vis. Comput. Graph.,
conf/mhci/BohnenbergerJKB02,inproceedings,Location-Aware Shopping Assistance: Evaluation of a Decision-Theoretic Approach.,Mobile HCI,2002,,155-169,,db/conf/mhci/mhci2002.html#BohnenbergerJKB02,,
journals/ijdsn/YuHLJ13,article,On the Security of Data Collection and Transmission from Wireless Sensor Networks in the Context of Internet of Things.,,2013,2013,,,db/journals/ijdsn/ijdsn2013.html#YuHLJ13,IJDSN,
conf/giscience/KaragiorgouKVN14,inproceedings,Experimenting With Polylines on the Visualization of Eye Tracking Data From Observations of Cartographic Lines.,ET4S@GIScience,2014,,22-26,,db/conf/giscience/et4s2014.html#KaragiorgouKVN14,,
conf/aime/GrandoMGSSGK11,inproceedings,Argumentation-Logic for Explaining Anomalous Patient Responses to Treatments.,AIME,2011,,35-44,,db/conf/aime/aime2011.html#GrandoMGSSGK11,,
conf/icac/HansenCJ06,inproceedings,The Laundromat Model for Autonomic Cluster Computing.,ICAC,2006,,114-123,,db/conf/icac/icac2006.html#HansenCJ06,,
conf/interspeech/WangUK14,inproceedings,Formant enhancement based speech watermarking for tampering detection.,INTERSPEECH,2014,,1366-1370,,db/conf/interspeech/interspeech2014.html#WangUK14,,
journals/dam/EvrendilekGH14,article,Covering points with orthogonal polygons.,,2014,164,92-99,,db/journals/dam/dam164.html#EvrendilekGH14,Discrete Applied Mathematics,
conf/cp/BessiereHHW04,inproceedings,"Disjoint, Partition and Intersection Constraints for Set and Multiset Variables.",CP,2004,,138-152,,db/conf/cp/cp2004.html#BessiereHHW04,,
