conf/edbt/LyngbaekWH90,conf/sigmod/GraefeD87
conf/dbpl/DongS91,conf/dbpl/89
conf/er/EmbleyL89,journals/tods/AbiteboulH87
conf/dbpl/ErwigL91,conf/icdt/BeeriK90
conf/er/EftimieN87,conf/er/Modell85
books/crc/CRCcompiler2002/ChoudharyK02,journals/pc/BartonCM94
conf/edbt/Vista98,journals/tods/BunemanC79
conf/dasfaa/Greco93,journals/jcss/BeeriKBR90
conf/adbis/KimG97,conf/sigmod/AikenWH92
conf/dasfaa/OhmoriH95,conf/sigmod/AgrawalCL85
conf/dasfaa/AjitomiK89,journals/ai/Forgy82
conf/cikm/ChangLL95,journals/ieeemm/Grosky94
conf/er/EkenbergJ96,journals/siamcomp/Hull86
conf/dasfaa/DengC91,journals/tkde/DengC90
conf/adbis/Doubrovski96,conf/sigmod/BreitbartST90
conf/dolap/MutoK99,journals/datamine/GoilC97
conf/edbt/BonczQK96,conf/icde/KhoshafianCJBV87
conf/edbt/CiacciaPZ98,conf/vldb/CiacciaPZ97
conf/adbis/GunzelAL99,books/mit/fayyadPSU96/FayyadPS96
conf/cikm/Han95,books/mit/FayyadPSU96
conf/er/AuddinoDDFST92,conf/edbt/AlbanoACO88
conf/er/Al-JadirL98,conf/sigmod/BanerjeeKKK87
conf/adbis/LaforestT99,journals/tois/StonebrakerSLKG83
conf/dasfaa/HarangsriSN97,conf/pods/HouOT88
conf/edbt/ChimentiGK90,journals/tods/Ullman85
conf/dasfaa/DengC91,journals/ipl/DijkstraS80
conf/dasfaa/LukM89,conf/eds/Zaniolo86
conf/edbt/MeccaMM98,conf/sigmod/CluetD92
conf/edbt/LudascherPV00,journals/tods/BunemanFN82
conf/dbpl/AlbanoGO89,journals/csur/AtkinsonB87
conf/edbt/PiraheshMSL94,journals/cacm/LambLOW91
conf/dasfaa/YunH93,journals/debu/BreitbartST87
books/ol/Lang03,conf/cpm/CharrasLP98
conf/adbis/TranB99,books/aw/HopcroftU79
conf/edbt/ChenD96,conf/icde/ChenD96
conf/dasfaa/ChungY93,conf/icde/Stonebraker88
conf/er/CastroGS93,conf/er/ElmasriEK90
conf/adbis/HaaseH99,conf/fqas/BonnetT98
conf/edbt/KoudasFK96,journals/tods/DuS82
conf/dbpl/Hidders95,journals/iandc/BarbaneraDL95
conf/dasfaa/XiaFL99,journals/www/FengL98
conf/er/Atzeni98,conf/sigmod/FernandezFKLS98
conf/edbt/LinK98,conf/icdt/GunopoulosMS97
conf/dbpl/HugherC87,journals/sigmod/OngFS84
books/cs/Maier83,journals/siamcomp/AhoSU79
conf/adbis/SalzaR97,conf/sigmod/LoCRY93
conf/edbt/BunemanDK92,books/mg/SilberschatzK91
conf/dasfaa/KimHL99,conf/sigmod/ConsensM93
conf/adbis/Chen97,conf/icde/Chen93
conf/dbpl/Kosky95,journals/tods/AbiteboulH87
conf/cikm/TreschL95,journals/computer/ObraczkaDL93
conf/er/Collet-PetitjeanDGJM86,journals/tse/DolkK84
conf/dbpl/BenzakenD93,journals/acta/Nicolas82
conf/adbis/PapadopoulosM98,conf/sigmod/Orenstein86
conf/dl/CousinsPWBP97,journals/tkde/ChangGP96
conf/dasfaa/LingS99,conf/sigmod/ColbyGLMT96
conf/dbpl/BenzakenD93,conf/vldb/KowalskiSS87
conf/dasfaa/ChoLWY97,journals/debu/ChenKPSSVZ93
conf/dbpl/Moss89,conf/pos/Keedy89
conf/dbpl/ConnorMM91,conf/db-workshops/AtkinsonM85
conf/vldb/KeimH99,conf/vdb/MehrotraG95
conf/er/Atkins83,journals/tc/BabaH81
conf/dasfaa/GolendzinerSW97,books/aw/kimL89/BretlMOPSSWW89
conf/edbt/DeshpandeN00,conf/pods/SmithLCJ98
conf/edbt/BasiliBM92,journals/tse/Ghosh86
conf/dbpl/BakerFS87,conf/icse/Bernstein87
conf/er/ChiangBS93,conf/icde/BittonMT89
conf/er/AkokaCL99,journals/tse/MarkowitzM90
conf/edbt/AgrawalBS00,journals/aim/Mitchell97
conf/dasfaa/KimCLW95,conf/icde/KitsuregawaHT89
conf/dbpl/LibkinW93a,conf/vldb/KlausnerG85
conf/dolap/Bakgaard99,journals/tods/Shipman81
conf/dbpl/Singh95,conf/sigmod/Garcia-MolinaS87
conf/edbt/KumarS88,journals/csur/DavidsonG85
conf/adbis/ZismanK97,journals/cacm/Chung90
