journals/imds,Industrial Management and Data Systems
journals/nc,Natural Computing
conf/afips/1967s,"American Federation of Information Processing Societies: Proceedings of the AFIPS '67 Spring Joint Computer Conference, April 18-20, 1967, Atlantic City, New Jersey, USA",AFIPS Spring Joint Computing Conference,1967,30,"AFIPS / ACM / Thomson Book Company, Washington D.C.",db/conf/afips/afips67s.html
journals/jpdc,J. Parallel Distrib. Comput.
conf/ssdbm/83,"Proceedings of the Second International Workshop on Statistical Database Management, Los Altos, California, USA, September 27-29, 1983",,1983,,Lawrence Berkeley Laboratory,db/conf/ssdbm/ssdbm83.html
conf/mpc/1989,"Mathematics of Program Construction, 375th Anniversary of the Groningen University, International Conference, Groningen, The Netherlands, June 26-30, 1989, Proceedings",MPC,1989,375,Springer,db/conf/mpc/mpc89.html
conf/stoc/STOC22,"Proceedings of the 22nd Annual ACM Symposium on Theory of Computing, May 13-17, 1990, Baltimore, Maryland, USA",STOC,1990,,ACM,db/conf/stoc/stoc90.html
conf/aaai/1986-1,"Proceedings of the 5th National Conference on Artificial Intelligence. Philadelphia, PA, August 11-15, 1986. Volume 1: Science.",AAAI,1986,,Morgan Kaufmann,db/conf/aaai/aaai86-1.html
conf/parle/1987-2,"PARLE, Parallel Architectures and Languages Europe, Volume II: Parallel Languages, Eindhoven, The Netherlands, June 15-19, 1987, Proceedings",PARLE,1987,259,Springer,db/conf/parle/parle87-2.html
conf/sigir/91,"Proceedings of the 14th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval. Chicago, Illinois, USA, October 13-16, 1991 (Special Issue of the SIGIR Forum).",,1991,,ACM,db/conf/sigir/sigir91.html
conf/ismis/1993,"Methodologies for Intelligent Systems, 7th International Symposium, ISMIS '93, Trondheim, Norway, June 15-18, 1993, Proceedings",ISMIS,1993,689,Springer,db/conf/ismis/ismis93.html
conf/iui/2014,"IUI'14 19th International Conference on Intelligent User Interfaces, IUI'14, Haifa, Israel, February 24-27, 2014",IUI,2014,,ACM,db/conf/iui/iui2014.html
conf/ht/87,"Hypertext'87 Proceedings, November 13-15, 1987, Chapel Hill, North Carolina, USA",,1987,,ACM,db/conf/ht/ht87.html
conf/sigmod/71,"Proceedings of 1971 ACM-SIGFIDET Workshop on Data Description, Access and Control, San Diego, California, November 11-12, 1971",,1971,,ACM,db/conf/sigmod/sigmod71.html
journals/bmcsb,BMC Systems Biology
conf/esop/1986,"ESOP 86, European Symposium on Programming, Saarbrücken, Federal Republic of Germany, March 17-19, 1986, Proceedings",ESOP,1986,213,Springer,db/conf/esop/esop86.html
conf/gi/2006-1,"Informatik 2006 - Informatik für Menschen, Band 1, Beiträge der 36. Jahrestagung der Gesellschaft für Informatik e.V. (GI), 2.-6. Oktober 2006 in Dresden",GI Jahrestagung (1),2006,93,GI,db/conf/gi/gi2006-1.html
conf/esorics/1996,"Computer Security - ESORICS 96, 4th European Symposium on Research in Computer Security, Rome, Italy, September 25-27, 1996, Proceedings",ESORICS,1996,1146,Springer,db/conf/esorics/esorics1996.html
conf/cscw/1996,"CSCW '96, Proceedings of the ACM 1996 Conference on Computer Supported Cooperative Work, Boston, MA, USA, November 16-20, 1996",CSCW,1996,,ACM,db/conf/cscw/cscw1996.html
conf/sigir/85,"Proceedings of the 8th annual international ACM SIGIR conference on Research and development in information retrieval, Montréal, Québec, Canada, June 5-7, 1985",,1985,,ACM,db/conf/sigir/sigir85.html
